Ticker,Mean Return (Annualized),Risk (Annualized Std Dev)
A,-0.03402336640745591,0.26836348876744726
AA,-0.12748146266002144,0.5210569176507934
AACT,0.058868740533505264,0.020514104672238548
AAN,0.14794863197933605,0.6138751004384275
AAP,-0.7455384067245447,0.5161886937314154
AAT,-0.045392327900053916,0.33802129910729933
AB,-0.013371430432322627,0.2764646705364552
ABBV,0.01214478851676118,0.19615352406411868
ABCB,0.2327894065955537,0.3993975248838
ABEV,0.16157071659870226,0.24720612494462055
ABG,0.3370095971631183,0.396295165239097
ABM,0.07490714133552304,0.33533702223111755
ABR,0.3169424092669877,0.4035178610416949
ABT,0.0440844765829274,0.19865303262749767
AC,-0.10558762280201098,0.2819243083203496
ACA,0.4828593183893381,0.31612621863082885
ACCO,0.18087646617892356,0.3879631139874772
ACEL,0.308028313053233,0.3061691693161494
ACHR,1.594614586768747,0.944279427396297
ACI,0.13715848955368934,0.12490346899165711
ACM,0.13032922001371008,0.21717013486020373
ACN,0.30405252263011956,0.21835892582681155
ACP,0.20215147785774884,0.20352054981564366
ACR,0.2066900258378699,0.373994519093669
ACRE,0.15718712631945597,0.3343820568377008
ACV,0.24828739260551863,0.19810153316951792
ADC,-0.05150556042896243,0.1885654927904308
ADCT,-0.1104025352145318,1.2126734900392613
ADM,-0.17105608640386907,0.22100149880670467
ADNT,0.10435343500257994,0.35171080454906256
ADT,-0.1642636520456699,0.42258208373692513
ADX,0.2886284427362849,0.13694541749185832
AEE,-0.14800619936467438,0.2198787741382736
AEFC,0.1950802012147502,0.19791542233860435
AEG,0.23050370019480004,0.2765469626423463
AEM,0.10237864825355403,0.3024508502540419
AEO,0.5049052703850282,0.43576454579717033
AER,0.2886593562161537,0.2711202384834518
AES,-0.29207126588849286,0.34211780150891746
AESI,0.13575062079161956,0.37241629594314524
AEVA,-0.1295095961582936,0.9038049111890373
AFB,0.07180265683525688,0.12441963442144077
AFG,-0.051087906611099396,0.2277417780450226
AFGB,0.1379669267051203,0.2099486476721297
AFGC,0.16620069039622298,0.2346299133295051
AFGD,0.13935371831398388,0.21679039075270617
AFGE,0.10851048490650886,0.18971650186081251
AFL,0.1868418486727074,0.19895223385278601
AG,-0.15864189905262155,0.5487655693214814
AGCO,-0.027661528782208268,0.3008572454573693
AGD,0.0770241856867798,0.12954115776341812
AGI,0.32581836865643854,0.3232162331278754
AGL,-0.08977078118230365,0.5644022708113156
AGM,0.5990319516664634,0.2898536359388109
AGO,0.2526014652645974,0.24787925746314135
AGR,-0.2058359815660253,0.25812763996971744
AGRO,0.5005128994064831,0.38979438311427744
AGS,0.7026498478448958,0.5515514198777489
AGX,0.32327017625044085,0.31597084008022414
AHH,0.17219878623529894,0.26742039779155463
AHT,-0.5116769462329597,0.787179581298171
AI,1.523874452317383,1.0780449289338805
AIG,0.13372240918107514,0.26179842956209676
AIN,0.03341628777445585,0.26281290706508387
AIO,0.1822632584416999,0.16633779195025375
AIR,0.37925058910654375,0.2790860947874149
AIT,0.3785631155500145,0.28816658157318525
AIU,0.09417981782529403,0.5672598189716891
AIV,0.14524080620528854,0.305286166646494
AIZ,0.34189457194001205,0.27681971650010356
AIZN,0.08426990150329912,0.28594905253563146
AJG,0.21412249734961492,0.19105448069348072
AJX,-0.08542432030537554,0.45355128894423347
AKA,0.04415075086986611,1.204035229783187
AKR,0.2552856861635508,0.3015478435304782
AL,0.1256592205346439,0.25861375997181735
ALB,-0.2770553316560135,0.4765762417813552
ALC,0.1551043957049158,0.22872115961308886
ALE,0.009372872976218024,0.22806088954259432
ALEX,0.08703010707059904,0.2398163177793132
ALG,0.4627941311325365,0.3129190747367035
ALIT,0.0773236792001629,0.341492113598169
ALK,-0.017387266639595934,0.3425025298115873
ALL,0.0904348917201194,0.26799183378674585
ALLE,0.2150571165005314,0.26217238129755377
ALLG,-0.4273845660140186,0.9159868166254553
ALLY,0.5023620888006877,0.4436585866900693
ALSN,0.3961040970702061,0.2710137180868102
ALTG,0.06480341130635214,0.4941079611450594
ALTM,0.07875216405291396,0.5185296089588776
ALUR,-0.6968426565203968,0.7547215496240836
ALV,0.42548396373072905,0.28974350307565316
ALX,0.08854686680307144,0.25750125368962207
AM,0.2780517133739193,0.22138927932362384
AMBC,0.022559414804729967,0.28339778774162994
AMBP,-0.07224637209349744,0.43372857922165725
AMC,-1.1134284508320917,1.1978211870677968
AMCR,-0.1412785703588127,0.21599386139166435
AME,0.18536527252592985,0.18312812665694672
AMG,-0.022105640636820804,0.269704851953018
AMH,0.24496352112765324,0.23417422417007006
AMK,0.28606228362006886,0.29904335679106586
AMN,-0.28153627917190605,0.37207861341668474
AMP,0.2529743540118534,0.2564690165727006
AMPS,0.31807546488066296,0.66761446075553
AMPX,0.1437773407282001,0.992391886816424
AMPY,-0.16755454775169856,0.509189646689896
AMR,1.0217139530968375,0.4387414570189059
AMRC,-0.3375312805412483,0.6840991621745555
AMT,0.07519398735440586,0.2679624934694841
AMTB,0.026237393506023002,0.4201929368470763
AMTD,-0.8377659023193517,0.5576334290750258
AMWL,-0.3792298799799147,0.7332541707319788
AMX,0.06681890621754628,0.2322885804855799
AN,0.4140876000095793,0.3813808558376763
ANET,0.7779240686366714,0.45694109311684467
ANF,1.4789809857853584,0.5538225385155713
ANVS,0.7885771622833805,0.9260642863394923
AOD,0.12375224264101625,0.1333261386061034
AOMR,0.9356982251695817,0.42237773378968685
AON,-0.0014556479890647889,0.19812208362260358
AORT,0.5266379305189327,0.45744249637824147
AOS,0.3965458064524479,0.2788360274563573
AP,0.2249164061101348,0.6210383217087325
APAM,0.48312919340517174,0.2874165164824297
APD,-0.057916487317289746,0.24714560971888686
APG,0.660453763059067,0.26637949310825326
APH,0.29087666283931046,0.18517839860154106
APLE,0.16899402570563082,0.25619584545526086
APO,0.4740929530859959,0.3202870742993863
APOS,0.19115213146969304,0.08973834972805593
APTV,0.018386646504106905,0.32912719539821916
AQN,0.047062485775998614,0.31626232675380034
AQNB,0.19034923157318448,0.15405013962997016
AR,-0.13362257597240756,0.43641587268012294
ARC,0.26149847999990045,0.41762423615448013
ARCH,0.36879690664576764,0.3773746971454939
ARCO,0.5716299074853366,0.33429497912760725
ARDC,0.28687901838987157,0.13174482734505982
ARE,-0.025486044098315837,0.3491252625096092
ARES,0.6358166141803524,0.2890189885384594
ARGD,0.24595297521336298,0.17168839817617662
ARI,0.26878008483845095,0.3410024189054802
ARIS,-0.3419767805694344,0.5892388729914986
ARL,-0.1991381221424757,0.5413894275291201
ARLO,1.2193939726064358,0.7581383809770595
ARMK,-0.008389342741806945,0.28955166129800475
AROC,0.6793788125317685,0.3350943867849286
ARR,-0.14861102959791284,0.3141689018153359
ARW,0.17564305555884124,0.25622509945243616
ASA,0.059920900271786814,0.26717801468504293
ASAI,-0.09722822849230967,0.4615674510006034
ASAN,0.5781523130437666,0.6532580150697495
ASB,0.03667037464799939,0.373774911692207
ASBA,-0.013430302480986926,0.38932165436706045
ASC,0.18387862183307635,0.43748102187210364
ASG,0.16425789448275702,0.1796760944124247
ASGI,0.14163878244712913,0.13844130677373914
ASGN,0.1988030058194434,0.2940384107942908
ASH,-0.20716336217194328,0.24432241732007526
ASIX,-0.13141742730833364,0.35586247452996783
ASPN,0.7632562092000122,0.7989608753449436
ASR,0.32383025473121113,0.42798024663194817
ASX,0.5293788390929722,0.3059085750126767
ATEN,-0.14681482072394447,0.39312233032898797
ATGE,0.5722843126538039,0.3576821363863683
ATHM,-0.009761104519808522,0.3586709460837826
ATI,0.4971527114095699,0.3502663208733926
ATIP,-0.5119643010768723,0.883228366589267
ATKR,0.4147529580797497,0.3996524572456917
ATMU,0.1952362467744878,0.34039375265929556
ATO,0.08605030923365901,0.1877909433996099
ATR,0.14520812821696027,0.1798619092317075
ATS,0.3897325193625492,0.3316810968592441
ATUS,-0.002448864758836563,0.8404697050373546
AU,0.03482106266253666,0.4488639473413886
AUB,0.1611613442919082,0.40861214917879546
AVA,-0.15230364248876732,0.22924037551946352
AVAL,0.13947459127762438,0.3748964707201007
AVB,0.21304176657279758,0.22669658956616703
AVD,-0.5948414910852328,0.3880891537535762
AVK,0.1690607796466614,0.18454329009865866
AVNS,-0.13025464065891604,0.34896472883512525
AVNT,0.2836998389227612,0.32726439076081637
AVTR,0.12860221953094184,0.32207819364158924
AVY,0.14233184878128197,0.22406560680858825
AWF,0.16447009581968236,0.13013763453391775
AWI,0.3981779002110625,0.25801916872259945
AWK,-0.1135779432395569,0.21614518981816952
AWP,0.11778597931836812,0.23992760615087938
AWR,-0.1254761929301567,0.22543048343694827
AX,0.49761388920164656,0.5267840600157736
AXL,0.24211768705056608,0.4564838257170566
AXP,0.2932068767204983,0.2608911238131806
AXR,0.6806205592387785,0.3704824021141261
AXS,0.07254728446948691,0.2479508800812937
AXTA,0.3253594973341,0.2834407154051583
AYI,0.24131534497721455,0.2781106896757461
AZEK,0.6694354847359357,0.36288825466555663
AZO,0.08504366830459424,0.21285798662999558
AZUL,0.867521640049846,0.8231808619839499
AZZ,0.428467103889219,0.2856262507744671
B,-0.1097338333594714,0.43123750521396076
BA,0.3284012058984604,0.2713146488255332
BABA,-0.07660366372141024,0.4115371105802975
BAC,0.07182218650337248,0.2689563961937875
BAH,0.2472809108618079,0.22967138240077276
BAK,0.19693537509219095,0.5277349910402216
BALL,0.16892475222537628,0.32387054819723904
BALY,-0.12103404799358872,0.5718223061273682
BAM,0.42629976715298307,0.27767172153260605
BANC,-0.03724785576926525,0.44442103833610613
BAP,0.13046580404353936,0.29180639273053566
BARK,-0.4105807825330079,0.6991468409993348
BAX,-0.19727373432255138,0.3247125122590279
BB,0.23261133267263362,0.577119491805922
BBAI,3.3692139791635203,2.983973271622406
BBAR,0.6474644277235087,0.6375021761572818
BBD,0.49335736493460863,0.36786646412538154
BBDC,0.18203334900818957,0.19313612560982774
BBDO,0.5355774930329774,0.487058164713882
BBN,0.024561976273544346,0.16488300072334014
BBU,0.3154146408304864,0.439322548566261
BBUC,0.31563947435591266,0.410045853414319
BBVA,0.506051689480866,0.28647196039797324
BBW,0.08983197142825708,0.4304360222397797
BBWI,0.10569932178564437,0.4137314472397808
BBY,0.057572705881320095,0.2656339554247268
BC,0.374575951866521,0.339008103942364
BCAT,0.17457429095275012,0.12605154492317208
BCC,0.7650078809682291,0.318707030877089
BCE,-0.03278722835153265,0.16101917846419508
BCH,0.2952059167869344,0.24774764487469284
BCO,0.5445645406049622,0.31593210305467484
BCS,0.09319987706609055,0.3329309573135519
BCSF,0.35977905106362174,0.2055980948596161
BCX,-0.011868017881781103,0.18479016983975208
BDC,0.145974450667038,0.4015274331737744
BDJ,-0.05514366893302969,0.13705260464500954
BDN,0.12011806091249834,0.5054179505454764
BDX,-0.01597186947275392,0.19329540476760548
BE,-0.09136773750193287,0.5889485092279222
BEDU,-0.36657811914848715,0.7525868853363393
BEKE,0.22593592324512357,0.4997843355499213
BEN,0.16895612337095087,0.27832561509209053
BEP,0.11534230498153875,0.3214369375023132
BEPC,0.11833331708190443,0.32661398823331017
BEPH,0.2144882681969435,0.30221498739725705
BEPI,0.21808053430361307,0.3048108015453113
BERY,0.1601088907678816,0.26002033377247397
BEST,0.33645451589701336,0.6719539721918745
BFAC,0.06061403491905033,0.09025904980066841
BFAM,0.421368480888055,0.3404690857391995
BFH,-0.000828295623670368,0.4841005058571316
BFK,0.03990463847447011,0.11451737312470225
BFLY,-0.2952879317236001,0.9932802278360509
BFS,0.06235630812637478,0.2707429468842394
BFZ,0.14822225319087604,0.1072156737801952
BG,0.12126584040117368,0.28625757697267934
BGB,0.17467146315660856,0.10745550221532546
BGH,0.171044443205129,0.13205897669177263
BGR,0.10403966070047642,0.19758702524180044
BGS,0.13114890626723227,0.5338608044408646
BGSF,-0.3836513565427884,0.3314488492347172
BGT,0.23276779057064284,0.11414337415687266
BGX,0.17206307970368453,0.10926116313831222
BGY,0.12726783382873263,0.1408444019594542
BH,0.2201876339101667,0.2915787185782043
BHC,0.42869355863268105,0.6104848027354056
BHE,0.09362928911214077,0.2712889766373391
BHIL,-1.7095815754243004,1.450817741436422
BHK,0.12520403440977876,0.13910817093315736
BHLB,-0.07899215058660228,0.38255756392035406
BHP,0.1753281891168094,0.28103496524197946
BHR,-0.28854077920715326,0.5526677402920529
BHV,-0.011449646431174893,0.10864737590129032
BHVN,1.4271158221460984,0.7293523295476343
BIG,-0.20725621807080402,0.9395965705046245
BIGZ,0.19704067609071188,0.23403869975587618
BILL,-0.05459948240730381,0.6746481268033754
BIO,-0.20834143640217084,0.3516812400872424
BIP,0.10964065482024833,0.33375928539694927
BIPC,-0.00281129223114729,0.33309506637770725
BIPH,0.1929202286946866,0.3486742025696722
BIPI,0.055328448319673866,0.3131908412891466
BIRK,0.9827154058853179,0.4522003504097572
BIT,0.16077692103418484,0.11253859096364073
BJ,0.00939294378976091,0.23587728670546917
BK,0.18398414983164693,0.24133794872240383
BKD,0.9695814657219392,0.6693648740797511
BKDT,0.8597597500647328,0.6022131874336655
BKE,0.18753671288716722,0.29917532139469516
BKH,-0.1980709571615397,0.23872135859216023
BKKT,1.6566923938015083,1.5498699822545055
BKN,0.05997518564299745,0.12792986832548098
BKSY,0.144405064450951,0.6959907954974611
BKT,0.06897031449958177,0.12715707091433204
BKU,0.15060392224394548,0.5185364052731244
BLCO,0.13025334503045052,0.30909799113514574
BLD,0.9426616079186428,0.37095157951253677
BLDR,1.037922445517847,0.4179314454862323
BLE,0.07115204546721768,0.11344868821163537
BLK,0.18583741964857972,0.22146390826843887
BLND,1.062542311574899,1.038990796913087
BLW,0.17145758357228827,0.11850848878473379
BLX,0.511397073557963,0.2666818250719516
BMA,0.8702765375062843,0.5956054056316369
BME,0.0005775705219568839,0.1257114000400569
BMEZ,0.04329172449100818,0.14277341619737835
BMI,0.3922712267500925,0.280870398729257
BMN,0.017717707934199023,0.11398470328315399
BMO,0.15420672633450846,0.20508023430329492
BMY,-0.2920743710862765,0.19357863006335574
BN,0.30154495474772575,0.31745511354033806
BNED,0.1416291076055203,0.8740155588949102
BNH,0.19339600368670332,0.2503394393954375
BNJ,0.165945100996425,0.2598365097084916
BNL,0.16285200382331622,0.24106641420428962
BNRE,0.3036406910339523,0.3067791502069392
BNS,0.0939130195525744,0.21527148531107373
BNY,0.07874581629221328,0.12310387869243482
BOC,-0.44265406040624977,0.3061704515287994
BODI,-0.5869441300930811,1.0945851731736032
BOE,0.11734962086286463,0.12606547769248747
BOH,0.11944372979625745,0.5212123369266913
BOND,0.06026560105224489,0.06735469227133065
BOOT,0.3122128067787511,0.4600020017067086
BORR,0.5509225724865385,0.5220789521212015
BOWL,0.15256482266301039,0.4907340658547265
BOX,-0.1534127271432187,0.31054139878743015
BP,0.10823161652264492,0.2507941622013162
BPT,-1.2163199118081203,0.7677539842210508
BR,0.4678274945266016,0.19698835428876904
BRBR,0.8190208522376651,0.2578708492647316
BRC,0.2796505349907513,0.2274829468821429
BRCC,-0.38269407833063324,0.6018997467927364
BRDG,-0.08904234798538245,0.411607255019992
BRFS,0.8906267931939251,0.641201111476813
BRO,0.2582200275784854,0.20344893380004997
BROS,0.2736380538976515,0.48899666579901196
BRSP,0.3585230365623978,0.3669284323818674
BRT,0.056842648613627325,0.2776554696884025
BRW,0.16326197208275073,0.13186332424366246
BRX,0.09884126339742712,0.2510228155462044
BSAC,0.346448226953095,0.2614566685127749
BSBR,0.37649474306178965,0.31756559713452653
BSIG,-0.022165813039313125,0.29752522964719097
BSL,0.17861844333788776,0.10102857894454716
BSM,0.1571780413184811,0.2486596906013544
BST,0.27842904389535594,0.18803239588693058
BSTZ,0.17313437863666964,0.213124875696051
BSX,0.25118004563311785,0.20058594605716928
BTA,0.13807385282950382,0.14449100335870543
BTCM,1.805495219152077,1.1721604108702126
BTE,-0.11754476435222681,0.4555253712882416
BTI,-0.21920445889530168,0.19520417041904367
BTO,0.035633185460820484,0.3617751657771628
BTT,-0.002162861833413759,0.09536897230229642
BTU,0.05529104509684906,0.3942298708624859
BTZ,0.11531183656620417,0.12956223854900464
BUD,0.11655748603930786,0.20796578347219954
BUI,0.12227678824811468,0.17728174163124572
BUR,0.8232407814595873,0.6631413011360525
BURL,0.023740788683820038,0.4137736948208766
BUXX,0.07346883292646103,0.01755427431097372
BV,0.29177697221325827,0.4692081008351166
BVN,0.7982963165077372,0.42381687365613524
BW,-0.8265304459055826,0.953058354876242
BWA,0.07607754394869481,0.31852135725395286
BWG,0.15806762186462642,0.14329737173112936
BWLP,1.1113992881950097,0.558743455684016
BWMX,1.1077465876706127,0.6377099053234433
BWNB,-0.14492961850670094,0.27712867136164665
BWSN,-0.10170152336919053,0.22007699702773553
BWXT,0.32675449515982036,0.2154092078649142
BX,0.6448421723431953,0.3472905554218009
BXC,0.5299305550444919,0.4293766803167651
BXMT,0.16849025604951856,0.33052184985054955
BXMX,0.09222271180717188,0.11242162280275592
BXP,0.21163400469417215,0.4315768724143407
BXSL,0.3408464545885314,0.1787523147186968
BY,0.10801578304655281,0.3318439528589758
BYD,0.1887127701618539,0.2668002878066785
BYM,0.02973620140182773,0.12323076816048846
BYON,0.6654803777680973,0.7480906184284256
BZH,1.1255795005939933,0.5813930134737577
C,0.19616078203640203,0.2549568021500121
CAAP,0.6976283255620093,0.4050032961367618
CABO,-0.14135807728109698,0.36462689522371444
CACI,0.07049632456580046,0.1986322808870591
CADE,0.3282054856304545,0.4225549232068854
CAE,0.14369585267680282,0.2781411567118248
CAF,-0.08692720266782272,0.17776556638370763
CAG,-0.2480905932843371,0.18667821861004352
CAH,0.32138532589360835,0.21073607827686872
CAL,0.46036900216637244,0.46138737811633057
CALX,-0.34944406930938227,0.44469733107931414
CANG,-0.16951044025949838,0.4607025451671017
CAPL,0.2802337803142508,0.24833453796499785
CARR,0.38680102836475916,0.2976827589480457
CARS,0.39488706563794973,0.39138233917663906
CAT,0.2771575179015318,0.28665725638431866
CATO,-0.16925547471099453,0.2876310737062271
CAVA,0.4429709811070965,0.6750370217741235
CB,0.061531608159487654,0.20371373041558466
CBH,0.07695625763128419,0.10844645716672857
CBL,0.15233526173520934,0.25039740687344153
CBRE,0.21340091363892433,0.28433560715116607
CBT,0.3077748849506619,0.2943381262756144
CBU,-0.07540754290951135,0.36922616327137286
CBZ,0.3206850810847162,0.2139649593084076
CC,0.159672793405799,0.4475563467452868
CCI,-0.09115550001370062,0.2760174179481145
CCIA,0.24100582665293363,0.05245567078282749
CCIF,0.15158654884748068,0.20918133696408453
CCJ,0.6993350893845182,0.3432938835589044
CCK,0.15672779007634957,0.26113479543579626
CCL,0.9780837915002255,0.4988446225795538
CCM,-0.09543053282991745,0.9361874274181848
CCO,0.8376897363573459,0.7291225430088624
CCRD,-0.6182076262193068,0.4601063784649918
CCS,0.6564087084044169,0.3437413167308315
CCU,0.04419584628008959,0.2859879828761881
CCZ,0.06440071923007652,0.2555804177161896
CDE,0.14476865554925658,0.6171825330341443
CDLR,0.927210434732713,0.15004486433233075
CDP,0.07555686861875925,0.26837170465065985
CDRE,0.5634152790534799,0.30806924515710987
CE,0.4981816231331609,0.3179798103987212
CEE,0.22266402603739396,0.26017467155166
CEIX,0.69565500128714,0.45847295215308853
CEM,0.32701446726329636,0.24233454593706882
CEPU,0.7237917718452969,0.5510891685778674
CF,0.03944774745570441,0.3149193187300112
CFG,-0.037137044732152395,0.4124006468165777
CFR,-0.07555429388546399,0.38756184291981605
